FlightNumber,Date,Route,AircraftType,Distance_km,Payload_kg,PassengerCount,FuelUplifted_kg,PlannedFuel_kg,ActualFuel_kg,CG_Position_percent_MAC,DelayMinutes,DelayReason,TaxiOutTime_min,WindComponent_kts,WeatherCondition
AB0000,22-03-2024,SHJ-DEL,A320,1899.3,13861.7,177,9523,9611.3,9246.4,29.58,25,None,15.7,-11.9,Cloudy
AB0001,29-01-2024,SHJ-MCT,A320,1707.3,13534.3,169,6086.7,6158.6,5959.2,26.99,16,Late Arrival,13.5,-41.2,Fog
AB0002,12-01-2024,SHJ-RUH,A321,2493.1,16274.2,211,8075.3,8180.8,7829.7,27.85,17,ATC,15,-24.4,Clear
AB0003,28-01-2024,SHJ-MCT,A320,1679.7,15852.3,164,6942.3,6981.2,6560,28.21,0,Weather,11.4,-17,Fog
AB0004,23-02-2024,SHJ-MCT,A321,2347.7,16671.4,207,9198.9,9262.9,9046.7,28.54,31,Weather,19.7,-46.4,Clear
AB0005,07-04-2024,SHJ-MCT,A321,2264.8,16114.9,196,10111.7,10258.2,9708.6,28.16,3,Technical,19.7,-5.4,Cloudy
AB0006,28-01-2024,SHJ-CAI,A320,1704.2,13814.3,142,6803.8,6971.6,6422.5,27.93,30,ATC,19.8,-29.7,Clear
AB0007,15-02-2024,SHJ-CAI,A321,2272.3,18038,209,11064.6,11205.7,11026.6,29.09,4,None,18.5,-49.8,Storm
AB0008,09-03-2024,SHJ-DEL,A321,2156.1,16857.1,239,8981.7,9056.6,8762.6,29.92,16,ATC,15.4,-12.3,Rain
AB0009,16-04-2024,SHJ-JED,A321,2219.4,17468.6,195,9172.3,9199.2,8911.5,29.3,15,Weather,18,-23.5,Clear
AB0010,06-01-2024,SHJ-JED,A320,1516.9,13579.4,158,7197.7,7317.9,6913.9,29.89,13,None,19.3,-21.1,Clear
AB0011,19-04-2024,SHJ-MCT,A320,1416.2,13973.5,166,10463.2,10578.3,10182.5,27.97,0,Technical,23.7,-8.7,Storm
AB0012,22-03-2024,SHJ-CAI,A320,1958.2,13090.6,193,6598.1,6807.7,6239.5,27.01,0,Technical,18.5,-27.6,Cloudy
AB0013,26-03-2024,SHJ-CAI,A320,1489.9,14068.6,143,8473.6,8651.1,8265.5,27.22,3,Late Arrival,22.1,-38.5,Cloudy
AB0014,09-03-2024,SHJ-JED,A320,1845.5,15307.1,132,8184.6,8323.7,7858.6,26.76,0,ATC,20.6,-15.5,Storm
AB0015,04-02-2024,SHJ-JED,A320,1850.1,14346.4,151,8232.3,8296.5,7902.9,29.87,19,Late Arrival,12,-10.2,Clear
AB0016,30-01-2024,SHJ-DEL,A321,2005.1,17287.1,233,8679.3,8800,8283,29.82,47,Weather,16.8,-31.3,Clear
AB0017,28-01-2024,SHJ-RUH,A321,2022.1,15684.2,208,9841.2,9982.5,9513.5,29.01,39,Technical,16.7,20.8,Storm
AB0018,20-02-2024,SHJ-JED,A321,2325.1,15642.8,188,9982.5,10118.2,9704.8,29.47,8,ATC,13.8,-42.7,Cloudy
AB0019,01-02-2024,SHJ-JED,A321,2110.7,17356.4,214,8254.3,8373.5,7936.9,28.12,13,None,18.3,-37.1,Storm
AB0020,24-04-2024,SHJ-RUH,A321,2271.6,17060.8,231,10553.8,10606.9,10391.6,29.52,20,Technical,20.6,37.8,Cloudy
AB0021,06-03-2024,SHJ-DOH,A320,1914.2,15135.6,184,8651.4,8789.3,8382.9,27.23,5,None,15.6,-18.8,Clear
AB0022,20-01-2024,SHJ-JED,A320,2262.9,12132.7,178,6387.3,6541.7,6134.5,28.06,0,None,14.4,-9.8,Storm
AB0023,17-03-2024,SHJ-DEL,A321,2053.9,16716.5,210,8848.4,8980.1,8334,26.97,13,Technical,14.7,-7.2,Storm
AB0024,08-03-2024,SHJ-CAI,A320,1641.5,13885.3,175,8865.8,8949,8685.8,27.53,0,Late Arrival,26.8,-13.9,Clear
AB0025,28-03-2024,SHJ-RUH,A321,1947.8,17417.9,240,10532.5,10608.3,10384.4,30.27,0,None,20.2,-8.4,Rain
AB0026,15-01-2024,SHJ-CAI,A321,2014.6,16440.5,145,8475.6,8513.2,8200.9,30.63,0,ATC,15.8,-18,Clear
AB0027,02-04-2024,SHJ-JED,A321,2488.3,15064.1,233,9510.2,9633.3,9308.4,29.2,0,None,18.3,-25.8,Cloudy
AB0028,05-03-2024,SHJ-DEL,A321,2222.7,17162.1,240,8262.2,8264.6,7748.9,28.85,21,None,19.4,-29.3,Fog
AB0029,18-03-2024,SHJ-MCT,A320,1758.4,13507,153,8849.6,8915,8513.9,28.9,16,Technical,22.1,-10.6,Cloudy
AB0030,10-03-2024,SHJ-RUH,A320,1634.2,13439.8,179,8610.4,8716.2,8312.5,29.28,0,Weather,20.7,-23,Storm
AB0031,03-01-2024,SHJ-DEL,A321,2156.5,17598.8,226,10313.5,10414.6,9883,29.68,3,None,19.6,-22,Rain
AB0032,31-01-2024,SHJ-DEL,A320,1819.4,14595.2,148,10092.4,10131.7,9893,29.16,25,None,21.1,-10.6,Clear
AB0033,11-01-2024,SHJ-JED,A321,2197.6,15602.7,211,8822.8,8915.5,8425.3,28.17,3,None,20.1,-28.5,Fog
AB0034,08-04-2024,SHJ-MCT,A320,1635.6,14243.7,169,7493.1,7604.7,7240.2,26.55,0,Late Arrival,14.4,-23.2,Fog
AB0035,22-01-2024,SHJ-CAI,A321,2262.2,17975.4,227,9340.1,9389.9,9042,28.98,4,None,19.6,-32.4,Fog
AB0036,06-04-2024,SHJ-JED,A320,1903.9,15532.7,162,8401.7,8481.7,8032.7,28.22,10,None,18.5,-31.6,Storm
AB0037,26-03-2024,SHJ-JED,A321,2204.9,16998,239,10459.3,10520.9,9944,29.87,13,Weather,28.9,-32.1,Fog
AB0038,27-02-2024,SHJ-DEL,A320,1632.1,13400.6,122,7474.2,7581.8,7250.2,28.34,47,Technical,22.8,-28.7,Rain
AB0039,03-01-2024,SHJ-RUH,A320,1620.3,14491.9,138,9831.5,9908,9413.5,26.29,37,Weather,17.4,-1.4,Clear
AB0040,10-01-2024,SHJ-JED,A320,1481.1,13400.6,165,8047,8178.1,7792,26.93,7,Technical,18.6,-12.3,Clear
AB0041,20-04-2024,SHJ-CAI,A320,1942.3,12875.4,134,9277.7,9340.3,8944.4,29.55,12,Weather,23.9,-19,Rain
AB0042,26-03-2024,SHJ-DOH,A320,2212.1,15755.3,160,8971.6,9140,8607,27.04,23,Weather,23.3,-46.4,Fog
AB0043,14-03-2024,SHJ-DOH,A320,1563.3,11960.8,159,8717.5,8821.2,8267.3,29.63,0,None,9.5,-20.8,Storm
AB0044,25-01-2024,SHJ-DEL,A320,1876.8,13967.3,123,7910.9,8044.4,7741.3,28.37,0,Late Arrival,15.4,-35.9,Rain
AB0045,24-02-2024,SHJ-DOH,A321,2187.5,17455.1,190,10004,10064.4,9757.1,28.89,0,None,15.2,-38,Clear
AB0046,27-03-2024,SHJ-JED,A320,2192.9,14035.3,151,8214,8302.9,7925.2,28.61,25,ATC,15.3,-28.6,Rain
AB0047,12-04-2024,SHJ-DEL,A320,1745,11698.1,134,9366.9,9454.4,8902.4,28.58,16,ATC,33.4,-3.2,Fog
AB0048,27-02-2024,SHJ-MCT,A321,2174.4,15544.5,177,9703.5,9732.4,9479.1,28.35,0,ATC,26.4,-6.8,Storm
AB0049,01-02-2024,SHJ-DEL,A321,2198.4,17979.9,211,8638.7,8765.7,8186.4,27.96,6,None,13.6,-40.7,Fog
AB0050,13-01-2024,SHJ-DEL,A320,1985.2,15909.4,137,8563,8638.6,8328,27.41,0,None,18.2,-32.5,Cloudy
AB0051,22-01-2024,SHJ-DOH,A321,2254.1,16449.8,205,8592.4,8730.2,8350.1,29.5,0,Weather,18.5,-8.7,Storm
AB0052,25-04-2024,SHJ-DEL,A320,1466.1,14543.4,151,8570.6,8580.4,8346.9,26.37,10,Technical,19.3,-33.6,Storm
AB0053,03-02-2024,SHJ-DOH,A321,2327.7,14838.5,208,8289,8391.4,8054.2,28.14,2,Weather,23,-28.7,Fog
AB0054,25-03-2024,SHJ-JED,A321,2367.1,15370.3,220,10941.6,11001.7,10888.7,29.58,5,ATC,19.9,-29.1,Rain
AB0055,28-01-2024,SHJ-DEL,A320,1817.3,13844.3,188,8254.4,8333.8,7920.7,27.51,1,None,20,-26.3,Clear
AB0056,07-01-2024,SHJ-RUH,A321,2258,18575.4,227,9174,9253.6,8753.9,26.96,0,Weather,8.6,-25.3,Fog
AB0057,21-01-2024,SHJ-DEL,A320,1803.7,15676.4,171,7780.9,7770.3,7398,28.24,25,None,10.6,-2.8,Clear
AB0058,17-03-2024,SHJ-DEL,A320,1867.7,13584.7,177,10270.7,10383.1,9952.5,27.54,0,Weather,22.2,-32.8,Fog
AB0059,01-02-2024,SHJ-RUH,A320,1814.3,13522.3,174,8333.7,8408.2,7929.9,27.73,0,Late Arrival,15.8,-14.3,Storm
AB0060,25-03-2024,SHJ-RUH,A321,2351.4,15577.8,227,10855.6,11049.5,10514.3,28.23,0,None,9.1,2.4,Cloudy
AB0061,26-03-2024,SHJ-JED,A321,2330.9,16444.4,215,8374.5,8481,7829.9,29.11,24,Technical,20.4,-16.6,Storm
AB0062,17-01-2024,SHJ-JED,A321,2041.9,16971.5,240,10845.4,10919.9,10386.1,28.01,7,Weather,18.3,-3.6,Clear
AB0063,02-01-2024,SHJ-DOH,A320,1461.5,15529.6,161,7573.1,7590.4,7374.3,28.82,11,ATC,11.6,-39.4,Cloudy
AB0064,05-03-2024,SHJ-CAI,A320,1732.8,15669,159,6496.9,6583.2,6221.4,25.3,8,None,16.8,-9.6,Clear
AB0065,22-04-2024,SHJ-MCT,A321,2569.8,17626.6,204,8393.5,8496.4,7836.1,29.01,9,Technical,19,-22.2,Storm
AB0066,16-04-2024,SHJ-RUH,A321,2085.3,15953.1,209,8956.6,9061.9,8727.9,28.75,40,Late Arrival,4.7,-3.6,Fog
AB0067,02-01-2024,SHJ-JED,A321,2449.2,14426.6,203,9128.6,9189.7,8969.3,27.89,45,None,22.7,-0.9,Clear
AB0068,30-04-2024,SHJ-MCT,A321,2344.3,15370.9,199,9989.4,10125,9811.6,28.76,2,ATC,21.6,-13.3,Clear
AB0069,05-04-2024,SHJ-RUH,A320,1727.8,15159.3,143,8615.9,8700.5,8256.6,28.33,0,Technical,22.6,-22.8,Fog
AB0070,27-01-2024,SHJ-JED,A321,2095.5,17549,195,8091.5,8221.8,7947.2,27.72,45,Technical,7.6,5.4,Rain
AB0071,05-03-2024,SHJ-DOH,A321,2242.2,16403.3,199,9899.1,10054.3,9602.9,29.11,13,None,16.2,-20.9,Clear
AB0072,12-01-2024,SHJ-JED,A321,2261.6,14789.8,183,10243.3,10334.1,9926.2,29.02,16,None,15.3,-31.7,Clear
AB0073,01-01-2024,SHJ-CAI,A320,1839.2,13021.6,173,6297.4,6421,5894.5,28.26,29,Late Arrival,26.3,-4.8,Rain
AB0074,21-01-2024,SHJ-JED,A321,1831.8,15220.4,197,9526.1,9589.8,9174.3,29.19,0,Weather,14.9,-41.1,Storm
AB0075,12-03-2024,SHJ-DEL,A320,1615.4,12648.3,145,9053.6,9285.3,8848.6,28.49,13,ATC,13.7,-9.5,Cloudy
AB0076,10-03-2024,SHJ-DEL,A321,2084.9,16622,240,9403.9,9468.8,8989,28.97,45,Weather,14.9,7.2,Cloudy
AB0077,25-02-2024,SHJ-MCT,A320,1941.6,13437.5,177,8972.6,8994,8610.4,27.27,5,Technical,17.6,-10.7,Clear
AB0078,25-04-2024,SHJ-CAI,A320,1835.5,12664.7,172,8610.6,8764.6,8254.6,28.83,19,Late Arrival,17.6,-44.9,Clear
AB0079,15-02-2024,SHJ-RUH,A321,2285.9,16707.7,215,8223.3,8375.9,8031.4,28.96,23,None,18.1,-19.6,Cloudy
AB0080,28-04-2024,SHJ-MCT,A320,1987.7,13484,166,7537.7,7622.3,7281.2,28.22,0,None,24.3,-33.4,Cloudy
